Date,Value
2014-04-01,1842.2
2014-01-01,1734.9
2013-10-01,1786.1
2013-07-01,1803.4
2013-04-01,1760.7
2013-01-01,1694.1
2012-10-01,1694.6
2012-07-01,1715.1
2012-04-01,1645.9
2012-01-01,1669.7
2011-10-01,1507.1
2011-07-01,1430.4
2011-04-01,1423.1
2011-01-01,1350.2
2010-10-01,1494.5
2010-07-01,1499.1
2010-04-01,1436.8
2010-01-01,1450.2
2009-10-01,1374.4
2009-07-01,1273.2
2009-04-01,1120.6
2009-01-01,1044.3
2008-10-01,671.4
2008-07-01,1188.8
2008-04-01,1229.6
2008-01-01,1203.5
2007-10-01,1313.7
2007-07-01,1285.3
2007-04-01,1341.7
2007-01-01,1270.8
2006-10-01,1358.7
2006-07-01,1409.0
2006-04-01,1391.7
2006-01-01,1352.9
2005-10-01,1320.0
2005-07-01,1251.7
2005-04-01,1206.2
2005-01-01,1185.8
2004-10-01,973.7
2004-07-01,978.8
2004-04-01,939.7
2004-01-01,901.9
2003-10-01,787.4
2003-07-01,733.4
2003-04-01,692.0
2003-01-01,689.9
2002-10-01,695.1
2002-07-01,620.4
2002-04-01,564.1
2002-01-01,506.8
2001-10-01,458.9
2001-07-01,475.3
2001-04-01,520.2
2001-01-01,494.9
2000-10-01,460.2
2000-07-01,481.9
2000-04-01,488.9
2000-01-01,497.0
1999-10-01,523.1
1999-07-01,505.7
1999-04-01,507.6
1999-01-01,493.1
1998-10-01,463.9
1998-07-01,481.0
1998-04-01,485.7
1998-01-01,488.2
1997-10-01,567.9
1997-07-01,566.4
1997-04-01,544.8
1997-01-01,526.7
1996-10-01,514.5
1996-07-01,502.6
1996-04-01,506.9
1996-01-01,505.0
1995-10-01,482.3
1995-07-01,475.1
1995-04-01,467.4
1995-01-01,444.8
1994-10-01,430.2
1994-07-01,418.8
1994-04-01,398.8
1994-01-01,386.4
1993-10-01,359.6
1993-07-01,340.2
1993-04-01,327.3
1993-01-01,312.5
1992-10-01,314.3
1992-07-01,307.0
1992-04-01,323.4
1992-01-01,310.8
1991-10-01,298.1
1991-07-01,294.3
1991-04-01,288.7
1991-01-01,281.8
1990-10-01,265.6
1990-07-01,263.5
1990-04-01,259.1
1990-01-01,246.3
1989-10-01,236.4
1989-07-01,236.4
1989-04-01,246.6
1989-01-01,253.9
1988-10-01,258.3
1988-07-01,247.1
1988-04-01,248.6
1988-01-01,232.9
1987-10-01,220.9
1987-07-01,212.1
1987-04-01,197.7
1987-01-01,170.7
1986-10-01,158.7
1986-07-01,154.2
1986-04-01,155.0
1986-01-01,158.1
1985-10-01,194.3
1985-07-01,192.4
1985-04-01,187.7
1985-01-01,186.6
1984-10-01,197.0
1984-07-01,196.0
1984-04-01,205.2
1984-01-01,204.7
1983-10-01,197.0
1983-07-01,192.2
1983-04-01,181.5
1983-01-01,162.2
1982-10-01,160.0
1982-07-01,165.3
1982-04-01,169.7
1982-01-01,168.3
1981-10-01,188.5
1981-07-01,192.4
1981-04-01,188.0
1981-01-01,200.2
1980-10-01,197.0
1980-07-01,191.2
1980-04-01,182.4
1980-01-01,211.6
1979-10-01,211.9
1979-07-01,216.2
1979-04-01,212.1
1979-01-01,204.3
1978-10-01,202.0
1978-07-01,190.5
1978-04-01,184.1
1978-01-01,165.6
1977-10-01,160.2
1977-07-01,159.2
1977-04-01,152.8
1977-01-01,143.9
1976-10-01,133.1
1976-07-01,132.9
1976-04-01,130.8
1976-01-01,126.9
1975-10-01,118.6
1975-07-01,110.6
1975-04-01,94.0
1975-01-01,89.2
1974-10-01,102.2
1974-07-01,115.2
1974-04-01,110.1
1974-01-01,107.5
1973-10-01,101.4
1973-07-01,96.6
1973-04-01,94.9
1973-01-01,91.8
1972-10-01,80.2
1972-07-01,73.8
1972-04-01,70.6
1972-01-01,69.6
1971-10-01,65.4
1971-07-01,63.2
1971-04-01,59.2
1971-01-01,56.7
1970-10-01,49.8
1970-07-01,52.6
1970-04-01,51.7
1970-01-01,51.9
1969-10-01,54.5
1969-07-01,55.6
1969-04-01,57.4
1969-01-01,59.2
1968-10-01,60.0
1968-07-01,58.5
1968-04-01,58.1
1968-01-01,56.5
1967-10-01,57.4
1967-07-01,54.7
1967-04-01,53.4
1967-01-01,53.3
1966-10-01,55.7
1966-07-01,56.7
1966-04-01,57.0
1966-01-01,56.7
1965-10-01,55.2
1965-07-01,52.2
1965-04-01,51.3
1965-01-01,49.5
1964-10-01,43.5
1964-07-01,43.9
1964-04-01,42.8
1964-01-01,42.9
1963-10-01,39.7
1963-07-01,38.8
1963-04-01,37.8
1963-01-01,35.9
1962-10-01,36.2
1962-07-01,35.4
1962-04-01,34.4
1962-01-01,34.4
1961-10-01,33.9
1961-07-01,31.6
1961-04-01,30.0
1961-01-01,28.5
1960-10-01,29.1
1960-07-01,30.1
1960-04-01,31.4
1960-01-01,33.7
1959-10-01,30.8
1959-07-01,31.4
1959-04-01,34.7
1959-01-01,32.0
1958-10-01,30.0
1958-07-01,26.6
1958-04-01,24.0
1958-01-01,23.6
1957-10-01,27.3
1957-07-01,29.7
1957-04-01,30.4
1957-01-01,31.7
1956-10-01,31.4
1956-07-01,29.8
1956-04-01,31.1
1956-01-01,30.2
1955-10-01,30.8
1955-07-01,29.6
1955-04-01,28.8
1955-01-01,28.4
1954-10-01,25.3
1954-07-01,23.6
1954-04-01,22.2
1954-01-01,21.6
1953-10-01,19.0
1953-07-01,23.8
1953-04-01,24.3
1953-01-01,24.3
1952-10-01,23.4
1952-07-01,21.3
1952-04-01,21.0
1952-01-01,21.8
1951-10-01,22.3
1951-07-01,20.5
1951-04-01,22.3
1951-01-01,26.1
1950-10-01,31.4
1950-07-01,28.6
1950-04-01,23.6
1950-01-01,19.8
1949-10-01,19.3
1949-07-01,19.6
1949-04-01,19.0
1949-01-01,21.5
1948-10-01,23.5
1948-07-01,24.4
1948-04-01,24.8
1948-01-01,23.6
1947-10-01,22.3
1947-07-01,20.5
1947-04-01,20.7
1947-01-01,21.9
