Date,Value
2014-01-01,415700.0
2013-10-01,391200.0
2013-07-01,402900.0
2013-04-01,355700.0
2013-01-01,282400.0
2012-10-01,319900.0
2012-07-01,307000.0
2012-04-01,292200.0
2012-01-01,298900.0
2011-10-01,263500.0
2011-07-01,304700.0
2011-04-01,292200.0
2011-01-01,242800.0
2010-10-01,347400.0
2010-07-01,282000.0
2010-04-01,296600.0
2010-01-01,309500.0
2009-10-01,339900.0
2009-07-01,318100.0
2009-04-01,342300.0
2009-01-01,296500.0
2008-10-01,275400.0
2008-07-01,310000.0
2008-04-01,344300.0
2008-01-01,320900.0
2007-10-01,317400.0
2007-07-01,402700.0
2007-04-01,372800.0
2007-01-01,257200.0
2006-10-01,261800.0
2006-07-01,283700.0
2006-04-01,309400.0
2006-01-01,344000.0
2005-10-01,290500.0
2005-07-01,284500.0
2005-04-01,250800.0
2005-01-01,286300.0
2004-10-01,234000.0
2004-07-01,246100.0
2004-04-01,253500.0
2004-01-01,235800.0
2003-10-01,273700.0
2003-07-01,297300.0
2003-04-01,235800.0
2003-01-01,228500.0
2002-10-01,240200.0
2002-07-01,242900.0
2002-04-01,222400.0
2002-01-01,217100.0
2001-10-01,218100.0
2001-07-01,206600.0
2001-04-01,213600.0
2001-01-01,210600.0
2000-10-01,215000.0
2000-07-01,210900.0
2000-04-01,199400.0
2000-01-01,222600.0
1999-10-01,214000.0
1999-07-01,209900.0
1999-04-01,186200.0
1999-01-01,188300.0
1998-10-01,182300.0
1998-07-01,244800.0
1998-04-01,174400.0
1998-01-01,183600.0
1997-10-01,172100.0
1997-07-01,188900.0
1997-04-01,169200.0
1997-01-01,170300.0
1996-10-01,172900.0
1996-07-01,155100.0
1996-04-01,180000.0
1996-01-01,166700.0
1995-10-01,156500.0
1995-07-01,151900.0
1995-04-01,156200.0
1995-01-01,143700.0
1994-10-01,156100.0
1994-07-01,149400.0
1994-04-01,155100.0
1994-01-01,154300.0
1993-10-01,150700.0
1993-07-01,146700.0
1993-04-01,146400.0
1993-01-01,146000.0
1992-10-01,152000.0
1992-07-01,137900.0
1992-04-01,130000.0
1992-01-01,130900.0
1991-10-01,140500.0
1991-07-01,145600.0
1991-04-01,137900.0
1991-01-01,142400.0
1990-10-01,135300.0
1990-07-01,140600.0
1990-04-01,156600.0
1990-01-01,158700.0
1989-10-01,132800.0
1989-07-01,151500.0
1989-04-01,130400.0
1989-01-01,155500.0
1988-10-01,135600.0
1988-07-01,130600.0
1988-04-01,120900.0
1988-01-01,127100.0
